Sno,Block,Subblock,Dimension,Dimension,Type,Original or Derived,Choices (old),Choices (cleaned),Choice_Type,No. of Choices,Description (TBD),Global Filter,Word Cloud,Bar Plot,Scatter Plot Central,Scatter Plot Left,Radar Plot,Sankey Diagram,Tool Tip
30,Demographics,Preferences,Tendency to Fidget,Tendency to Fidget,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,use
31,Demographics,Preferences,Emotional Attachment to Objects,Emotional Attachment to Objects,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,use
32,Demographics,Preferences,Values Design and Aesthetics,Values Design and Aesthetics,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,use
33,Demographics,Preferences,Non-Functional Personal Objects,Non-Functional Personal Objects,categorical,Original,"Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree","Strongly agree, Somewhat agree, Neither agree nor disagree, Somewhat disagree, Strongly disagree, Not answered",Single ,6,,,,use,use,use,use,use,use
44,Object Identification,,Cultural Significance,Cultural Significance,categorical,Original,"Yes, No, Prefer not to answer","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
53,Object Identification,,Object Category,Object Category,categorical,Derived,"Bedding, Jewelry & Decoration, Plushies & Stuffed Animals, Toys & Balls, Utility Item, NA","Ball, Toy, Utility, Jewelry, Plushies, Non-utility, Bedding, Not applicable",Single ,8,,,use,,use,use,,use,
54,Object Characteristics,General,Involves Technology,Involves Technology,categorical,Original,"Involves technology, Does not involve technology, Prefer not to answer","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
55,Object Characteristics,General,Ability to Move,Ability to Move,categorical,Original,"Capable of moving, Stationary, Prefer not to answer","Capable of moving, Stationary, Not answered",Single ,3,,,,use,use,use,,use,
56,Object Characteristics,General,Device Type,Device Type,categorical,Original,"Table-top, Hand-held, Wearable (e.g., watch, jewelry), Other, Prefer not to answer","Table-top, Hand-held, Wearable",Single ,3,,,use,use,use,use,,use,
58,Object Characteristics,General,Appearance,Appearance,categorical,Original,"Anthropomorphic, Zoomorphic, Neither anthropomorphic nor zoomorphic, Prefer not to answer","Anthropomorphic, Zoomorphic, Neither, Not answered",Single ,4,,,,use,use,use,,use,
59,Object Characteristics,General,Targeted Body Part [OLD],Targeted Body Part [OLD],categorical,Original,"Head, Face, Cheek, Neck, Shoulder, Arm, Hand, Wrist, Finger, Chest, Torso, Abdomen, Back, Thigh, Leg/Foot, Full Body, Other, Prefer not to answer","Head, Face, Cheek, Neck, Shoulder, Arm, Hand, Wrist, Finger, Chest, Torso, Abdomen, Back, Thigh, Full Body, Other, Not answered",Multi,17,,,,,,,,,
60,Object Characteristics,General,Targeted Body Part,Targeted Body Part,categorical,Derived,"Head, Face, Cheek, Neck, Shoulder, Arm, Hand, Wrist, Finger, Chest, Torso, Abdomen, Back, Thigh, Leg/Foot, Full Body, Other, Prefer not to answer","Head, Face, Mouth, Nose, Ears, Hair, Cheek, Neck, Shoulder, Arm, Hand, Wrist, Finger, Chest, Torso, Abdomen, Back, Thigh, Leg/Foot, Full Body, Not answered",Multi,21,,,use,,,,,use,
62,Object Characteristics,General,Portability,Portability,categorical,Original,"Yes, No, Prefer not to answer","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
63,Object Characteristics,General,Collective vs Individual Use,Collective vs Individual Use,categorical,Original,"Personal, Shared, Other, Prefer not to answer","Personal, Shared, Other",Single ,3,,,,use,use,use,,use,
65,Object Characteristics,Tactile,Texture,Texture,categorical,Original,"Smooth, Rough, Soft, Hard, Bumpy, Fuzzy, Slippery, Prickly, Sticky, Fluffy, Slimy, Silky, Ribbed, Metallic, Felted, Gritty, Velvety, Coarse, Other, Prefer not to answer","Smooth, Rough, Soft, Hard, Bumpy, Fuzzy, Slippery, Prickly, Sticky, Fluffy, Slimy, Silky, Ribbed, Metallic, Felted, Gritty, Velvety, Coarse, Other",Multi,19,,,use,,,,,use,
67,Object Characteristics,Tactile,Size,Size,categorical,Original,"Miniature (e.g., ring), Small (e.g., stress ball), Medium (e.g., basketball), Large (e.g., pillow), Extra large (e.g., body pillow), Other, Prefer not to answer","Miniature, Small, Medium, Large, Extra large, Other",Single ,6,,,use,,use,use,,use,
69,Object Characteristics,Tactile,Shape,Shape,categorical,Original,"Symmetrical, Asymmetrical, Flat, Spherical, Angular/edgy, Rounded/curved, Other, Prefer not to answer","Symmetrical, Asymmetrical, Flat, Spherical, Angular, Rounded, Not answered, Other",Multi,8,,,use,,use,use,,use,
71,Object Characteristics,Tactile,Conformability and Compliance,Conformability and Compliance,categorical,Original,"Squishy, Moldable, Rigid, Flexible, Powdery, Clicky, Spongy, Elastic, Poppable, Other, Prefer not to answer","Squishy, Moldable, Rigid, Flexible, Powdery, Clicky, Spongy, Elastic, Poppable, Not answered, Other",Multi,11,,,use,,,,,use,
73,Object Characteristics,Tactile,Softness Rating,Softness Rating,categorical,Derived,"0, 1, 2, 3, 4, 5","1, 2, 3, 4, 5, Not applicable",Single ,6,,,,,,use,,use,
74,Object Characteristics,Tactile,Subjective Temperature,Subjective Temperature,categorical,Original,"Warm, Cool, Other, Prefer not to answer","Warm, Cool, Neither, Not answered",Single ,4,,,,use,use,use,,use,
77,Object Characteristics,Tactile,Other Sensory Channel Used,Other Sensory Channel Used,categorical,Original,"Look at it, Listen to it, Smell it, Taste it, Other, Prefer not to answer","Look at it, Listen to it, Smell it, Taste it, Other, Not answered",Multi,6,,,,use,use,use,,use,
83,Object Identification,Importance,Functional Value,Functional Value,categorical,Original,"Not at all important, Slightly important, Moderately important, Very important, Extremely important","Not at all important, Slightly important, Moderately important, Very important, Extremely important",Single ,5,,,,use,use,use,use,use,
84,Object Identification,Importance,Emotional Significance,Emotional Significance,categorical,Original,"Not at all important, Slightly important, Moderately important, Very important, Extremely important","Not at all important, Slightly important, Moderately important, Very important, Extremely important",Single ,5,,,,use,use,use,use,use,
85,Object Identification,Importance,Physical Soothing,Physical Soothing,categorical,Original,"Not at all important, Slightly important, Moderately important, Very important, Extremely important","Not at all important, Slightly important, Moderately important, Very important, Extremely important",Single ,5,,,,use,use,use,use,use,
86,Object Use,General,Usage Context,Usage Context,categorical,Original,"When a situation matters to me, When a situation is not in line with what I want, When a situation is my fault, When it is not clear to me how a situation will evolve, When I am not in control of a situation, Other, Prefer not to answer","Personal relevance, Misalignment with desires, Self-blame, Uncertain outcome, Lack of control, Other, Not answered",Multi,7,,,use,,use,use,,use,use
88,Object Use,General,Usage Setting,Usage Setting,categorical,Original,"Alone in personal space, Alone in public space, Around family, Around friends, In public around strangers, Other, Prefer not to answer","Personal alone, Public alone, Around family, Around friends, Around strangers, Other",Multi,6,,,use,,use,use,,use,use
90,Object Use,General,Non-Usage Settings,Non-Usage Settings,categorical,Original,"Yes, No, Prefer not to answer","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
93,Object Use,General,Physical Interaction,Physical Interaction,categorical,Original,"Rub, Squish, Hold/grasp, Fidget, Press/Push with hand, Press/push with finger tips, Throw around, Wrap around, Lift up/down, Twist, Glide, Pet, Twirl, Cuddle, Poke, Knead, Other, Prefer not to answer","Rub, Squish, Hold, Fidget, Press with hand, Press with finger tips, Throw, Wrap, Lift, Twist, Glide, Pet, Twirl, Cuddle, Poke, Knead, Other",Multi,17,,,use,,,,,use,use
95,Object Use,General,Interaction Type,Interaction Type,categorical,Original,"When I need it, Randomly/Spontaneously, Compulsively/Irresistibly, Routinely/as a Ritual, Prefer not to answer","Need-driven, Random, Compulsive, Routine, Not answered",Multi,5,,,use,use,use,use,,use,use
100,Object Use,General,Usage Frequency,Usage Frequency,categorical,Original,"Daily or multiple times a day, Several times a week, Several times a month, Once a month or less, Other, Prefer not to answer","Several times a day, Several times a week, Several times a month, Once a month or less, Other, Not answered",Single ,6,,,use,use,use,use,,use,use
102,Object Use,General,Interaction Duration,Interaction Duration,categorical,Original,"A few seconds, A few minutes, A few days, A few weeks or more, Other, Prefer not to answer","A few seconds, A few minutes, A few days, A few hours, A few weeks, Other, Not answered",Single ,7,,,use,use,use,use,,use,use
104,Object Use,General,Usage Start,Usage Start,categorical,Original,"In the past few days, In the past few weeks, In the past few months, In the past few years, Other, Prefer not to answer","Past few days, Past few weeks, Past few months, Past few years",Single ,4,,,use,use,use,use,,use,use
107,Object Context,,Object Acquisition,Acquisition,categorical,Original,"Bought it, Made it, Gifted, Found it, Hand-me-down, Family owned, Other, Prefer not to answer","Bought it, Made it, Gifted, Found it, Hand-me-down, Family owned",Single ,6,,,use,,use,use,,use,use
109,Object Context,,Object Attachment,Attachment,categorical,Original,"Not significant at all (okay if I lose it), Slightly significant, Moderately significant, Very significant, Extremely significant (devastated if I lose it), Other, Prefer not to answer","Not significant, Slightly significant, Moderately significant, Very significant, Extremely significant",Single ,5,,,use,,use,use,,use,
111,Object Context,,Object Meaningfulness,Meaningfulness,categorical,Original,"It symbolizes something to me, It reminds me of someone, It reminds me of some event or situation, It represents a milestone or achievement, It denotes belonging to a group, community, or culture, It makes me feel a certain way, Not meaningful, Other, Prefer not to answer
","Symbolic, Reminder of someone, Reminder of event, Milestone, Belonging to a group, Emotional attachment, Not meaningful, Other",Multi,8,,,use,,use,use,,use,use
113,Object Context,,Object Customization,Customization,categorical,Original,"Yes, No, Prefer not to answer","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
116,Object Context,,Cultural Influence on Object Significance,Cultural Influence,categorical,Original,"Yes, No, Prefer not to answer","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
134,Interaction Preferences,,Emotion-aware Interactions,Emotion-aware Interactions,categorical,Original,"Yes, No","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
137,Interaction Preferences,,Social-Emotional Agency,Social-Emotional Agency,categorical,Original,"Yes, No","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
140,Interaction Preferences,,Communication Facilitation,Communication Facilitation,categorical,Original,"Yes, No","Yes, No, Not answered",Single ,3,,,,use,use,use,,use,
144,Meta Data,,Photo Uploaded,Photo Uploaded,categorical,Original,"Yes, No, I did not upload a photo","Yes, No, I did not upload a photo",Single ,3,,,,,,,,,
145,Meta Data,,Like to be Contacted,Like to be Contacted,categorical,Original,"Yes, No","Yes, No",Single ,2,,,,,,,,,
25,Demographics,Personality Traits,Extraversion,Extraversion,numerical,Derived,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Not applicable",Single ,11,,,,use,use,use,use,use,use
26,Demographics,Personality Traits,Agreeableness,Agreeableness,numerical,Derived,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Not applicable",Single ,11,,,,use,use,use,use,use,use
27,Demographics,Personality Traits,Conscientiousness,Conscientiousness,numerical,Derived,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Not applicable",Single ,11,,,,use,use,use,use,use,use
28,Demographics,Personality Traits,Neuroticism,Neuroticism,numerical,Derived,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Not applicable",Single ,11,,,,use,use,use,use,use,use
29,Demographics,Personality Traits,Openness,Openness,numerical,Derived,,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, Not applicable",Single ,11,,,,use,use,use,use,use,use
3,Meta Data,,Recruitment Category: Others,Recruitment Category: Others,open-ended,Original,,,,1,,,,,,,,,
5,Demographics,General,Gender: Others,Gender: Others,open-ended,Original,,,,1,,,,,,,,,
7,Demographics,General,Cultural Background: Indigenous Description,Cultural Background: Indigenous Description,open-ended,Original,,,,1,,,,,,,,,
8,Demographics,General,Cultural Background: Others,Cultural Background: Others,open-ended,Original,,,,1,,,,,,,,,
12,Demographics,General,Education: Others,Education: Others,open-ended,Original,,,,1,,,,,,,,,
14,Demographics,General,Lived Experiences: Others,Lived Experiences: Others,open-ended,Original,,,,1,,,,,,,,,
34,Object Identification,List of TCOs,TCO1: Description,TCO1: Description,open-ended,Original,,,,1,,,,,,,,,
35,Object Identification,List of TCOs,TCO2: Description,TCO2: Description,open-ended,Original,,,,1,,,,,,,,,
36,Object Identification,List of TCOs,TCO3: Description,TCO3: Description,open-ended,Original,,,,1,,,,,,,,,
37,Object Identification,List of TCOs,TCO4: Description,TCO4: Description,open-ended,Original,,,,1,,,,,,,,,
38,Object Identification,List of TCOs,TCO5: Description,TCO5: Description,open-ended,Original,,,,1,,,,,,,,,
39,Object Identification,List of TCOs,TCO6: Description,TCO6: Description,open-ended,Original,,,,1,,,,,,,,,
40,Object Identification,List of TCOs,TCO7: Description,TCO7: Description,open-ended,Original,,,,1,,,,,,,,,
41,Object Identification,List of TCOs,TCO8: Description,TCO8: Description,open-ended,Original,,,,1,,,,,,,,,
42,Object Identification,List of TCOs,TCO9: Description,TCO9: Description,open-ended,Original,,,,1,,,,,,,,,
43,Object Identification,List of TCOs,TCO10: Description,TCO10: Description,open-ended,Original,,,,1,,,,,,,,,
45,Object Identification,,Cultural Significance: YES Description,Cultural Significance: YES Description,open-ended,Original,,,,1,,,,,,,,,
46,Object Identification,Emotion-Specific TCO,Anger/Frustration Object: Description,Anger/Frustration Object: Description,open-ended,Original,,,,1,,,,,,,,,
47,Object Identification,Emotion-Specific TCO,Sadness/Despair Object: Description,Sadness/Despair Object: Description,open-ended,Original,,,,1,,,,,,,,,
48,Object Identification,Emotion-Specific TCO,Fear/Panic Object: Description,Fear/Panic Object: Description,open-ended,Original,,,,1,,,,,,,,,
49,Object Identification,Emotion-Specific TCO,Boredom/Fatigue Object: Description,Boredom/Fatigue Object: Description,open-ended,Original,,,,1,,,,,,,,,
50,Object Identification,Emotion-Specific TCO,Shame/Guilt Object: Description,Shame/Guilt Object: Description,open-ended,Original,,,,1,,,,,,,,,
51,Object Identification,Emotion-Specific TCO,Worry/Anxiety Object: Description,Worry/Anxiety Object: Description,open-ended,Original,,,,1,,,,,,,,,
52,Object Identification,,Object Identification: Description,Object Identification: Description,open-ended,Original,,,,1,,,,,,,,,
57,Object Characteristics,General,Device Type: Others,Device Type: Others,open-ended,Original,,,,1,,,,,,,,,
61,Object Characteristics,General,Targeted Body Part: Others,Targeted Body Part: Others,open-ended,Original,,,,1,,,,,,,,,
64,Object Characteristics,General,Collective vs Individual Use: Others,Collective vs Individual Use: Others,open-ended,Original,,,,1,,,,,,,,,
66,Object Characteristics,Tactile,Texture: Others,Texture: Others,open-ended,Original,,,,1,,,,,,,,,
68,Object Characteristics,Tactile,Size: Others,Size: Others,open-ended,Original,,,,1,,,,,,,,,
70,Object Characteristics,Tactile,Shape: Others,Shape: Others,open-ended,Original,,,,1,,,,,,,,,
72,Object Characteristics,Tactile,Conformability and Compliance: Others,Conformability and Compliance: Others,open-ended,Original,,,,1,,,,,,,,,
75,Object Characteristics,Tactile,Subjective Temperature: Others,Subjective Temperature: Others,open-ended,Original,,,,1,,,,,,,,,
76,Object Characteristics,Tactile,Other Tactile Characteristics: Description,Other Tactile Characteristics: Description,open-ended,Original,,,,1,,,,,,,,,
78,Object Characteristics,Tactile,Look at it: Description,Look at it: Description,open-ended,Original,,,,1,,,,,,,,,
79,Object Characteristics,Tactile,Listen to it: Description,Listen to it: Description,open-ended,Original,,,,1,,,,,,,,,
80,Object Characteristics,Tactile,Smell it: Description,Smell it: Description,open-ended,Original,,,,1,,,,,,,,,
81,Object Characteristics,Tactile,Taste it: Description,Taste it: Description,open-ended,Original,,,,1,,,,,,,,,
82,Object Characteristics,Tactile,Other: Description,Other: Description,open-ended,Original,,,,1,,,,,,,,,
87,Object Use,General,Usage Context: Others,Usage Context: Others,open-ended,Original,,,,1,,,,,,,,,
89,Object Use,General,Usage Setting: Others,Usage Setting: Others,open-ended,Original,,,,1,,,,,,,,,
91,Object Use,General,Non-Usage Settings: YES Description,Non-Usage Settings: YES Description,open-ended,Original,,,,1,,,,,,,,,
92,Object Use,General,Non-Usage Settings: NO Description,Non-Usage Settings: NO Description,open-ended,Original,,,,1,,,,,,,,,
94,Object Use,General,Physical Interaction: Others,Physical Interaction: Others,open-ended,Original,,,,1,,,,,,,,,
96,Object Use,General,When I need it: Description,When I need it: Description,open-ended,Original,,,,1,,,,,,,,,
97,Object Use,General,Randomly/Spontaneously: Description,Random: Description,open-ended,Original,,,,1,,,,,,,,,
98,Object Use,General,Compulsively/Irresistibly: Description,Compulsive: Description,open-ended,Original,,,,1,,,,,,,,,
99,Object Use,General,Routinely/as a Ritual: Description,Routine: Description,open-ended,Original,,,,1,,,,,,,,,
101,Object Use,General,Usage Frequency: Others,Usage Frequency: Others,open-ended,Original,,,,1,,,,,,,,,
103,Object Use,General,Interaction Duration: Others,Interaction Duration: Others,open-ended,Original,,,,1,,,,,,,,,
105,Object Use,General,Usage Start: Others,Usage Start: Others,open-ended,Original,,,,1,,,,,,,,,
106,Object Context,,Object Origin Story: Description,Origin Story: Description,open-ended,Original,,,,1,,,,,,,,,
108,Object Context,,Object Acquisition: Others,Acquisition: Others,open-ended,Original,,,,1,,,,,,,,,
110,Object Context,,Object Attachment: Others,Attachment: Others,open-ended,Original,,,,1,,,,,,,,,
112,Object Context,,Object Meaningfulness: Others,Meaningfulness: Others,open-ended,Original,,,,1,,,,,,,,,
114,Object Context,,Object Customization: YES Description,Customization: YES Description,open-ended,Original,,,,1,,,,,,,,,
115,Object Context,,Object Customization: NO Description,Customization: NO Description,open-ended,Original,,,,1,,,,,,,,,
117,Object Context,,Cultural Influence on Object Significance: YES Description,Cultural Influence: YES Description,open-ended,Original,,,,1,,,,,,,,,
118,Object Impact,,Interaction Expectations: Description,Interaction Expectations: Description,open-ended,Original,,,,1,,,,,,,,,
119,Object Impact,,Expectation Fulfillment: Description,Expectation Fulfillment: Description,open-ended,Original,,,,1,,,,,,,,,
120,Object Impact,,Unmet Expectations: Description,Unmet Expectations: Description,open-ended,Original,,,,1,,,,,,,,,
121,Object Impact,,Interaction Emotional Impact: Description,Interaction Emotional Impact: Description,open-ended,Original,,,,1,,,,,,,,,
122,Design Preferences,,Weight: Description,Weight: Description,open-ended,Original,,,,1,,,,,,,,,
123,Design Preferences,,Size: Description,Size: Description,open-ended,Original,,,,1,,,,,,,,,
124,Design Preferences,,Shape: Description,Shape: Description,open-ended,Original,,,,1,,,,,,,,,
125,Design Preferences,,Appearance: Description,Appearance: Description,open-ended,Original,,,,1,,,,,,,,,
126,Design Preferences,,Conformability: Description,Conformability: Description,open-ended,Original,,,,1,,,,,,,,,
127,Design Preferences,,Temperature: Description,Temperature: Description,open-ended,Original,,,,1,,,,,,,,,
128,Design Preferences,,Texture: Description,Texture: Description,open-ended,Original,,,,1,,,,,,,,,
129,Design Preferences,,Autonomy: Description,Autonomy: Description,open-ended,Original,,,,1,,,,,,,,,
130,Design Preferences,,Mobility: Description,Mobility: Description,open-ended,Original,,,,1,,,,,,,,,
131,Design Preferences,,Interactive Behavior: Description,Interactive Behavior: Description,open-ended,Original,,,,1,,,,,,,,,
132,Design Preferences,,Other Characteristics Type: Description,Other Characteristics Type: Description,open-ended,Original,,,,1,,,,,,,,,
133,Design Preferences,,Other Characteristics: Description,Other Characteristics: Description,open-ended,Original,,,,1,,,,,,,,,
135,Interaction Preferences,,Emotion-aware Interactions: YES Description,Emotion-aware Interactions: YES Description,open-ended,Original,,,,1,,,,,,,,,
136,Interaction Preferences,,Emotion-aware Interactions: NO Description,Emotion-aware Interactions: NO Description,open-ended,Original,,,,1,,,,,,,,,
138,Interaction Preferences,,Social-Emotional Agency: YES Description,Social-Emotional Agency: YES Description,open-ended,Original,,,,1,,,,,,,,,
139,Interaction Preferences,,Social-Emotional Agency: NO Description,Social-Emotional Agency: NO Description,open-ended,Original,,,,1,,,,,,,,,
141,Interaction Preferences,,Communication Facilitation: YES Description,Communication Facilitation: YES Description,open-ended,Original,,,,1,,,,,,,,,
142,Interaction Preferences,,Communication Facilitation: NO Description,Communication Facilitation: NO Description,open-ended,Original,,,,1,,,,,,,,,
143,Interaction Preferences,,Other Technological Aspects: Description,Other Technological Aspects: Description,open-ended,Original,,,,1,,,,,,,,,
